"","probability_of_goal","is_goal","distance","matchId","lastName","eventSec","angle","x","y","is_counter","rank"
"5058",0.899009015837768,1,1.25095963164284,2500026,"Gabbiadini",1621.981389,146.98959950254,99,51,0,1
"5883",0.899009015837768,1,1.25095963164284,2500080,"Aubameyang",827.211601,146.98959950254,99,51,0,2
"2386",0.888196359167787,1,1.71816762860903,2499865,"Otamendi",677.338249,143.648412109073,99,52,0,3
"3744",0.826095671538159,1,2.10000000000001,2499946,"Kane",120.715783,120.308136100625,98,50,0,4
"4197",0.826095671538159,0,2.10000000000001,2499973,"Benteke Liolo",2535.897798,120.308136100625,98,50,0,5
"4936",0.826095671538159,1,2.10000000000001,2500019,"Rodriguez",220.588472,120.308136100625,98,50,0,6
"5306",0.826095671538159,0,2.10000000000001,2500040,"Tackie Mensah Welbeck",1969.954398,120.308136100625,98,50,0,7
"1416",0.820707230192571,0,2.20735135399873,2499804,"Romeu Vidal",1328.616017,119.006732036974,98,51,0,8
"2316",0.820707230192571,1,2.20735135399873,2499860,"Lingard",1046.976404,119.006732036974,98,49,0,9
"773",0.803536124836124,0,2.5019192632857,2499763,"Solanke",2406.016225,114.90170242643,98,48,0,10
"928",0.803536124836124,1,2.5019192632857,2499773,"Okazaki",2859.850126,114.90170242643,98,48,0,11
"1303",0.803536124836124,1,2.5019192632857,2499796,"Abraham",152.358746,114.90170242643,98,52,0,12
"2699",0.803536124836124,1,2.5019192632857,2499885,"Rooney",1575.013886,114.90170242643,98,48,0,13
"2904",0.803536124836124,1,2.5019192632857,2499897,"Kachunga",335.395923,114.90170242643,98,48,0,14
"5866",0.803536124836124,0,2.5019192632857,2500079,"Dyer",688.82135,114.90170242643,98,48,0,15
"6093",0.803536124836124,1,2.5019192632857,2500094,"P\u00e9rez Guti\u00e9rrez",1064.378586,114.90170242643,98,48,0,16
"153",0.800149050193186,1,1.71816762860903,2499727,"Britos Cabrera",2879.337836,143.648412109073,99,52,0,17
"1157",0.800149050193186,1,1.71816762860903,2499787,"Evans",1258.115705,143.648412109073,99,52,0,18
"5305",0.733316390159601,1,3.15000000000001,2500040,"Austin",1701.660221,98.5657569304922,97,50,0,19
"5663",0.733316390159601,1,3.15000000000001,2500065,"Sterling",950.643423,98.5657569304922,97,50,0,20
"2877",0.727772908284554,1,4.21294433858318,2499895,"Sterling",2094.225927,60.4730686885245,99,56,1,21
"690",0.727389132730936,1,3.22256109329211,2499758,"Ayew Pel\u00e9",1911.067042,97.4390670095849,97,49,0,22
"1779",0.727389132730936,1,3.22256109329211,2499828,"Job Matip",1415.186957,97.4390670095849,97,49,0,23
"2519",0.727389132730936,0,3.22256109329211,2499873,"Mata Garc\u00eda",2340.957572,97.4390670095849,97,51,0,24
"5442",0.727389132730936,1,3.22256109329211,2500050,"Zaha",276.621206,97.4390670095849,97,49,0,25
"3119",0.716878236458586,1,3.43633525721808,2499909,"Arnautovi\u0107",2590.956101,95.8950520085728,98,46,0,26
"3794",0.716878236458586,1,3.43633525721808,2499949,"Koscielny",763.0927,95.8950520085728,98,46,0,27
"5447",0.716878236458586,1,3.43633525721808,2500050,"Murray",1044.011533,95.8950520085728,98,46,0,28
"5688",0.716878236458586,1,3.43633525721808,2500066,"Barnes",992.501917,95.8950520085728,98,46,0,29
"5289",0.716878236458585,1,3.43633525721808,2500039,"King",2608.013016,95.8950520085728,98,54,0,30
"303",0.709173744866306,1,3.4310494021509,2499736,"Bailly",2658.180731,94.0275149230624,97,48,0,31
"2021",0.709173744866306,0,3.4310494021509,2499843,"Pogba",2649.975155,94.0275149230624,97,48,0,32
