"","probability_of_goal","is_goal","matchId","lastName","eventSec","angle","x","y","is_through","is_counter","preceding_pass","rank"
"905",0.624554851954039,1,2499784,"Lukaku Menama",2412.453366,78.7883006482609,96,52,0,0,"Cross",57
"4939",0.624554851954039,0,2500094,"Murphy",1345.277815,78.7883006482609,96,48,1,0,"Smart pass",58
"2515",0.612916712452078,1,2499908,"Atsu Twasam",930.585723,56.5583679013992,94,47,0,1,"Cross",59
"517",0.590876150905931,0,2499755,"Chalobah",550.89801,82.139648908549,96,50,0,0,"Ground loose ball duel",60
"946",0.590876150905931,1,2499787,"de Andrade",2972.120428,82.139648908549,96,50,0,0,"Air duel",61
"1541",0.590876150905931,0,2499834,"de Jesus",262.938543,82.139648908549,96,50,0,0,"Cross",62
"2448",0.590876150905931,0,2499903,"Smalling",86.991846,82.139648908549,96,50,0,0,"Air duel",63
"2693",0.590876150905931,1,2499920,"R\u00fcdiger",153.509516,82.139648908549,96,50,0,0,"Ground loose ball duel",64
"2787",0.590876150905931,1,2499927,"Ayew",2423.924072,82.139648908549,96,50,0,0,"Head pass",65
"3618",0.590876150905931,1,2499989,"Gayle",968.027455,82.139648908549,96,50,0,0,"Ground loose ball duel",66
"4068",0.590876150905931,1,2500023,"Barbosa de Oliveira",235.57604,82.139648908549,96,50,0,0,"Cross",67
"4818",0.590876150905931,0,2500082,"Solanke",2892.879842,82.139648908549,96,50,0,0,"Air duel",68
"2349",0.584840525039972,1,2499895,"Sterling",2094.225927,60.4730686885245,99,56,0,1,"Simple pass",69
"1568",0.582597606779848,1,2499836,"Pogba",499.346231,60.2601765931852,97,56,0,1,"Head pass",70
"1422",0.582249469475918,1,2499826,"Murray",1731.403637,74.7079876899916,96,47,0,0,"Cross",71
"574",0.582002986641331,0,2499760,"Tackie Mensah Welbeck",926.400047,81.295799156945,96,49,0,0,"Cross",72
"748",0.582002986641331,0,2499772,"Calvert-Lewin",2500.466459,81.295799156945,96,51,0,0,"Cross",73
"1178",0.582002986641331,1,2499806,"Okazaki",200.684209,81.295799156945,96,51,0,0,"Simple pass",74
"1331",0.582002986641331,1,2499818,"Phillips",2765.144405,81.295799156945,96,49,0,0,"Simple pass",75
"1538",0.582002986641331,1,2499834,"de Jesus",2669.154041,81.295799156945,96,51,0,0,"Simple pass",76
"1832",0.582002986641331,0,2499857,"Hoedt",824.342432,81.295799156945,96,49,0,0,"Head pass",77
"2221",0.582002986641331,0,2499886,"Austin",1247.147836,81.295799156945,96,51,0,0,"Cross",78
"2940",0.582002986641331,1,2499938,"Carroll",813.781658,81.295799156945,96,51,0,0,"Air duel",79
"3044",0.582002986641331,1,2499946,"Son",1509.359651,81.295799156945,96,51,0,0,"Cross",80
"3443",0.582002986641331,0,2499975,"Kane",1775.772806,81.295799156945,96,49,0,0,"Air duel",81
"3743",0.582002986641331,0,2499998,"Dawson",2357.589491,81.295799156945,96,51,0,0,"Air duel",82
"4810",0.582002986641331,1,2500082,"Giroud",1907.981112,81.295799156945,96,51,0,0,"Air duel",83
"817",0.571875908831945,1,2499778,"Hern\u00e1ndez Balc\u00e1zar",1187.991908,80.3388172727015,97,46,0,0,"Head pass",84
"3105",0.571875908831945,0,2499950,"Hemed",1771.888547,80.3388172727015,97,46,0,0,"Cross",85
"954",0.571875908831945,1,2499788,"Sakho",2658.749372,80.3388172727015,97,54,0,0,"Cross",86
"4533",0.571875908831945,1,2500058,"Crouch",1998.148932,80.3388172727015,97,54,0,0,"Ground defending duel",87
"3",0.555342914667462,1,2499719,"Okazaki",254.745027,78.7883006482609,96,52,0,0,"Air duel",88
"938",0.555342914667462,0,2499787,"Carrillo D\u00edaz",1970.666276,78.7883006482609,96,52,0,0,"Simple pass",89
"1071",0.555342914667462,0,2499797,"Alli",2723.088258,78.7883006482609,96,48,0,0,"Ground loose ball duel",90
"1464",0.555342914667462,1,2499829,"Wilson",1556.577637,78.7883006482609,96,48,0,0,"Air duel",91
"1887",0.555342914667462,1,2499860,"Lacazette",199.032187,78.7883006482609,96,48,0,0,"Simple pass",92
"2913",0.555342914667462,0,2499936,"Diouf",2445.630962,78.7883006482609,96,52,0,0,"Air duel",93
"3786",0.555342914667462,1,2500000,"Wood",2047.013742,78.7883006482609,96,52,0,0,"Air duel",94
"3860",0.555342914667462,0,2500007,"Kane",992.720193,78.7883006482609,96,48,0,0,"Cross",95
"4075",0.555342914667462,1,2500024,"Ulloa",1175.151221,78.7883006482609,96,48,0,0,"Air duel",96
"1125",0.54312875446988,1,2499801,"Rashford",1935.511001,56.5583679013992,94,47,0,1,"Cross",97
"4009",0.539267809569908,1,2500018,"Wood",1461.629332,56.1997350703802,95,45,0,1,"Simple pass",98
"416",0.53918867140885,0,2499748,"Martins Indi",522.757297,70.6732149611668,97,45,0,0,"Ground loose ball duel",99
"2216",0.53918867140885,1,2499886,"King",2252.608509,70.6732149611668,97,45,0,0,"Cross",100
"1957",0.52391357442995,1,2499865,"Jim\u00e9nez Silva",2250.295738,69.2582462190328,96,46,0,0,"High pass",101
"4195",0.52391357442995,1,2500032,"Man\u00e9",230.44284,69.2582462190328,96,46,0,0,"Cross",102
"377",0.522845289291656,1,2499745,"Mitrovi\u0107",2453.135608,69.1594742809427,95,49,0,0,"Ground attacking duel",103
"1715",0.512229923240172,0,2499847,"Rond\u00f3n Gim\u00e9nez",2942.735478,47.0868897348734,92,50,0,1,"Cross",104
"2607",0.511340600065659,1,2499914,"Barnes",125.122731,74.7079876899916,96,53,0,0,"Ground loose ball duel",105
"2880",0.511340600065659,0,2499934,"Ag\u00fcero del Castillo",2347.484166,74.7079876899916,96,53,0,0,"Cross",106
"4989",0.50351914063527,1,2500097,"Lamela",216.416867,67.375053785412,95,48,0,0,"Cross",107
"1167",0.50351914063527,1,2499805,"Diouf",1022.238888,67.3750537854119,95,52,0,0,"Ground loose ball duel",108
