"","probability_of_goal","is_goal","distance","matchId","lastName","eventSec","angle","x","y","is_counter","rank"
"5058",0.837802357651916,1,1.25095963164284,2500026,"Gabbiadini",1621.981389,146.98959950254,99,51,0,1
"5883",0.837802357651916,1,1.25095963164284,2500080,"Aubameyang",827.211601,146.98959950254,99,51,0,2
"153",0.823031471014377,1,1.71816762860903,2499727,"Britos Cabrera",2879.337836,143.648412109073,99,52,0,3
"1157",0.823031471014377,1,1.71816762860903,2499787,"Evans",1258.115705,143.648412109073,99,52,0,4
"2386",0.823031471014377,1,1.71816762860903,2499865,"Otamendi",677.338249,143.648412109073,99,52,0,5
"3744",0.737957870517628,1,2.10000000000001,2499946,"Kane",120.715783,120.308136100625,98,50,0,6
"4197",0.737957870517628,0,2.10000000000001,2499973,"Benteke Liolo",2535.897798,120.308136100625,98,50,0,7
"4936",0.737957870517628,1,2.10000000000001,2500019,"Rodriguez",220.588472,120.308136100625,98,50,0,8
"5306",0.737957870517628,0,2.10000000000001,2500040,"Tackie Mensah Welbeck",1969.954398,120.308136100625,98,50,0,9
"2316",0.731156686450559,1,2.20735135399873,2499860,"Lingard",1046.976404,119.006732036974,98,49,0,10
"4540",0.731156686450559,1,2.20735135399873,2499995,"Can",1733.050651,119.006732036974,98,49,0,11
"1416",0.731156686450559,0,2.20735135399873,2499804,"Romeu Vidal",1328.616017,119.006732036974,98,51,0,12
"2104",0.731156686450559,1,2.20735135399873,2499848,"Kouyat\u00e9",2652.893624,119.006732036974,98,51,0,13
"2300",0.731156686450559,0,2.20735135399873,2499860,"Lacazette",1153.277437,119.006732036974,98,51,0,14
"4940",0.731156686450559,0,2.20735135399873,2500019,"Phillips",3109.666465,119.006732036974,98,51,0,15
"5593",0.731156686450559,0,2.20735135399873,2500060,"Kouyat\u00e9",942.198968,119.006732036974,98,51,0,16
"5136",0.730089036869497,1,4.16183853603189,2500030,"Vardy",3010.114257,80.3388172727015,97,46,1,17
"773",0.709716420684689,0,2.5019192632857,2499763,"Solanke",2406.016225,114.90170242643,98,48,0,18
"928",0.709716420684689,1,2.5019192632857,2499773,"Okazaki",2859.850126,114.90170242643,98,48,0,19
"1153",0.709716420684689,1,2.5019192632857,2499786,"Crouch",2354.384901,114.90170242643,98,48,0,20
"1303",0.709716420684689,1,2.5019192632857,2499796,"Abraham",152.358746,114.90170242643,98,52,0,21
"2699",0.709716420684689,1,2.5019192632857,2499885,"Rooney",1575.013886,114.90170242643,98,48,0,22
"2904",0.709716420684689,1,2.5019192632857,2499897,"Kachunga",335.395923,114.90170242643,98,48,0,23
"5790",0.709716420684689,0,2.5019192632857,2500074,"Gayle",2693.221986,114.90170242643,98,52,0,24
"5866",0.709716420684689,0,2.5019192632857,2500079,"Dyer",688.82135,114.90170242643,98,48,0,25
"5984",0.709716420684689,0,2.5019192632857,2500087,"Deeney",2327.628187,114.90170242643,98,48,0,26
"6093",0.709716420684689,1,2.5019192632857,2500094,"P\u00e9rez Guti\u00e9rrez",1064.378586,114.90170242643,98,48,0,27
"914",0.670156681660539,0,2.92772949570141,2499772,"Niasse",2161.7493,107.422761208939,98,47,0,28
"4495",0.670156681660539,1,2.92772949570141,2499992,"Barnes",1308.835365,107.422761208939,98,53,0,29
"2939",0.669042808761024,1,5.00383852657138,2499899,"Coutinho Correia",1522.864069,69.2582462190328,96,54,1,30
"2877",0.643389593649767,1,4.21294433858318,2499895,"Sterling",2094.225927,60.4730686885245,99,56,1,31
"1670",0.62535022201187,1,3.15000000000001,2499820,"Niasse",1278.233091,98.5657569304922,97,50,0,32
"2246",0.62535022201187,0,3.15000000000001,2499857,"Yoshida",2025.107358,98.5657569304922,97,50,0,33
"3247",0.62535022201187,1,3.15000000000001,2499916,"Kane",1276.523291,98.5657569304922,97,50,0,34
"5305",0.62535022201187,1,3.15000000000001,2500040,"Austin",1701.660221,98.5657569304922,97,50,0,35
"5663",0.62535022201187,1,3.15000000000001,2500065,"Sterling",950.643423,98.5657569304922,97,50,0,36
"5726",0.62535022201187,0,3.15000000000001,2500069,"Cork",1414.509126,98.5657569304922,97,50,0,37
"1923",0.624850993324397,1,5.15450288582712,2499836,"Pogba",499.346231,60.2601765931852,97,56,1,38
"3244",0.624850993324397,0,5.15450288582712,2499916,"Kane",336.764612,60.2601765931852,97,56,1,39
"690",0.618634745485592,1,3.22256109329211,2499758,"Ayew Pel\u00e9",1911.067042,97.4390670095849,97,49,0,40
"1108",0.618634745485592,1,3.22256109329211,2499784,"Fellaini-Bakkioui",182.965918,97.4390670095849,97,51,0,41
"1639",0.618634745485592,1,3.22256109329211,2499818,"Sterling",1137.970608,97.4390670095849,97,49,0,42
"1779",0.618634745485592,1,3.22256109329211,2499828,"Job Matip",1415.186957,97.4390670095849,97,49,0,43
"2519",0.618634745485592,0,3.22256109329211,2499873,"Mata Garc\u00eda",2340.957572,97.4390670095849,97,51,0,44
"2764",0.618634745485592,1,3.22256109329211,2499889,"Lovren",1508.661024,97.4390670095849,97,49,0,45
"4321",0.618634745485592,0,3.22256109329211,2499981,"Ince",952.22311,97.4390670095849,97,51,0,46
"5158",0.618634745485592,0,3.22256109329211,2500032,"Man\u00e9",646.142225,97.4390670095849,97,49,0,47
"5442",0.618634745485592,1,3.22256109329211,2500050,"Zaha",276.621206,97.4390670095849,97,49,0,48
"5494",0.618634745485592,1,3.22256109329211,2500053,"Rodriguez",1635.476149,97.4390670095849,97,49,0,49
"6086",0.618634745485592,1,3.22256109329211,2500094,"Gayle",1347.530723,97.4390670095849,97,51,0,50
"3119",0.60717007809998,1,3.43633525721808,2499909,"Arnautovi\u0107",2590.956101,95.8950520085728,98,46,0,51
"3794",0.60717007809998,1,3.43633525721808,2499949,"Koscielny",763.0927,95.8950520085728,98,46,0,52
"5368",0.60717007809998,1,3.43633525721808,2500044,"Vardy",2287.119097,95.8950520085728,98,46,0,53
"5447",0.60717007809998,1,3.43633525721808,2500050,"Murray",1044.011533,95.8950520085728,98,46,0,54
"5688",0.60717007809998,1,3.43633525721808,2500066,"Barnes",992.501917,95.8950520085728,98,46,0,55
"5289",0.60717007809998,1,3.43633525721808,2500039,"King",2608.013016,95.8950520085728,98,54,0,56
"303",0.598248484808017,1,3.4310494021509,2499736,"Bailly",2658.180731,94.0275149230624,97,48,0,57
"1671",0.598248484808017,1,3.4310494021509,2499820,"Calvert-Lewin",1691.513352,94.0275149230624,97,48,0,58
"1929",0.598248484808017,0,3.4310494021509,2499836,"Fellaini-Bakkioui",2698.001175,94.0275149230624,97,52,0,59
"2021",0.598248484808017,0,3.4310494021509,2499843,"Pogba",2649.975155,94.0275149230624,97,48,0,60
"2510",0.598248484808017,1,3.4310494021509,2499873,"Jim\u00e9nez Silva",2542.586487,94.0275149230624,97,52,0,61
"3219",0.598248484808017,0,3.4310494021509,2499914,"Lingard",300.157575,94.0275149230624,97,52,0,62
"4956",0.598248484808017,1,3.4310494021509,2500021,"Tomkins",1350.254952,94.0275149230624,97,52,0,63
"5386",0.598248484808017,0,3.4310494021509,2500045,"Sterling",2674.771508,94.0275149230624,97,48,0,64
"6044",0.598248484808017,1,3.4310494021509,2500091,"Aubameyang",2250.967455,94.0275149230624,97,52,0,65
"6149",0.592215500858196,1,6.44512218658422,2500097,"Lamela",885.416151,58.604821742648,94,48,1,66
"4924",0.58416287975875,1,6.25479815821422,2500018,"Wood",1461.629332,56.1997350703802,95,45,1,67
"1389",0.578745813750216,1,6.62205406199618,2499801,"Rashford",1935.511001,56.5583679013992,94,47,1,68
"3089",0.578745813750216,1,6.62205406199618,2499908,"Atsu Twasam",930.585723,56.5583679013992,94,47,1,69
"159",0.563786397426849,0,3.75287889492854,2499728,"Rodriguez",851.501175,88.2896857220538,97,47,0,70
"578",0.563786397426849,0,3.75287889492854,2499751,"Dann",2624.715096,88.2896857220538,97,47,0,71
"981",0.563786397426849,1,3.75287889492854,2499776,"Morata Mart\u00edn",2183.00296,88.2896857220538,97,47,0,72
"1840",0.563786397426849,1,3.75287889492854,2499831,"Zouma",2735.582693,88.2896857220538,97,47,0,73
"2341",0.563786397426849,1,3.75287889492854,2499862,"Morata Mart\u00edn",1939.861153,88.2896857220538,97,53,0,74
